start,end,words,category,pcrel_refs,branch_refs,labels,function,sample_values
0x34DD4,0x34DD4,1,data:pool_single,1,0,1,,FFFF
0x34DD8,0x34DD8,1,data:pool_single,1,0,1,,FFFF
0x34DDC,0x34DDC,1,data:pool_single,1,0,1,,FFFF
0x34DE0,0x34DE0,1,data:pool_single,1,0,1,,FFFF
0x34DE4,0x34DE4,1,data:pool_single,1,0,1,,0000
0x34DE8,0x34DE8,1,data:pool_single,1,0,1,,0000
0x34DEC,0x34DEC,1,data:pool_single,1,0,1,,FFFF
0x34DF4,0x34DF4,1,data:pool_single,1,0,1,,0000
0x34DF8,0x34DF8,1,data:pool_single,1,0,1,,FFFF
0x34E00,0x34E00,1,data:pool_single,1,0,1,,FFFF
0x34E04,0x34E04,1,data:pool_single,1,0,1,,FFFF
0x34E0A,0x34E0A,1,data:single_unref,0,0,0,,8CF4
0x34EE2,0x34EE4,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x34EE8,0x34EE8,1,data:pool_single,1,0,1,,FFFF
0x34EEC,0x34EEC,1,data:pool_single,1,0,1,,FFFF
0x34EF0,0x34EF0,1,data:pool_single,1,0,1,,FFFF
0x34EF6,0x34EF6,1,data:single_unref,0,0,0,,8CDE
0x34EFA,0x34EFA,1,data:single_unref,0,0,0,,8CE0
0x34EFE,0x34EFE,1,data:single_unref,0,0,0,,8CF8
