kind,start,end,class,src,motivo
data,85254,85258,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,85406,85410,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,85428,85432,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,85744,85750,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,85970,85974,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,87606,87618,literal_pool,,pcrel refs 3/6 words (mov.lx2+movax1)
data,88700,88706,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,89032,89038,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,89348,89352,literal_pool,,pcrel refs 1/2 words (movax1)
data,90266,90272,literal_pool,,pcrel refs 1/3 words (movax1)
data,90618,90622,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,90648,90652,literal_pool,,pcrel refs 1/2 words (movax1)
data,91142,91146,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,91474,91478,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,91904,91908,literal_pool,,pcrel refs 1/2 words (movax1)
data,93026,93030,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,93044,93050,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,93060,93066,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,93068,93078,jump_table,,32-bit absolute x2 (pairing+0
data,93080,93086,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,93338,93342,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,93692,93698,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,93958,93962,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,94194,94198,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,94214,94218,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,94550,94554,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,94598,94602,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,94806,94810,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,94826,94830,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,94846,94850,padding,,all-zero word filler
data,95070,95074,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,95082,95086,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,95394,95398,padding,,all-zero word filler
data,95778,95782,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,95786,95790,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,95798,95802,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96034,96038,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,96046,96050,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96066,96070,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96090,96094,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96346,96350,padding,,all-0xFFFF filler (stray pcrel ref x1)
