addr_start,addr_end,word_count,class,notes
56260,56268,4,padding,0x00xx-pattern run (high byte 0x00)
56272,56278,3,unknown_data,
56280,56290,5,padding,0x00xx-pattern run (high byte 0x00)
56292,56298,3,padding,0x00xx-pattern run (high byte 0x00)
56302,56306,2,unknown_data,
56310,56314,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
56318,56322,2,padding,all-zero word filler
56324,56330,3,unknown_data,
56334,56338,2,padding,all-zero word filler
56342,56346,2,padding,all-zero word filler
56348,56354,3,padding,all-zero word filler
56358,56362,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
56366,56370,2,unknown_data,
56372,56378,3,unknown_data,
56380,56386,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
56396,56412,8,unknown_data,
56422,56426,2,padding,all-zero word filler
56428,56434,3,unknown_data,
56436,56442,3,unknown_data,
56444,56450,3,unknown_data,
57438,57442,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
58630,58634,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
59242,59248,3,literal_pool,pcrel refs 1/3 words (movax1)
59252,59262,5,literal_pool,pcrel refs 3/5 words (movax2+mov.lx1)
59702,59710,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
59714,59718,2,padding,all-zero word filler
60610,60614,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
60878,60882,2,padding,all-0xFFFF filler (stray pcrel ref x1)
61154,61158,2,padding,all-0xFFFF filler (stray pcrel ref x1)
61474,61478,2,padding,all-0xFFFF filler (stray pcrel ref x1)
61670,61674,2,padding,all-0xFFFF filler (stray pcrel ref x1)
62738,62742,2,padding,all-0xFFFF filler (stray pcrel ref x1)
62748,62752,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
62754,62758,2,padding,all-zero word filler
62760,62766,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
62950,62954,2,padding,all-0xFFFF filler (stray pcrel ref x1)
62960,62966,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
63310,63314,2,padding,all-0xFFFF filler (stray pcrel ref x1)
63328,63332,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
63340,63344,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
63610,63614,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
63618,63622,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
63628,63634,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
63640,63646,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
63650,63654,2,padding,all-zero word filler
63896,63906,5,literal_pool,pcrel refs 3/5 words (mov.lx2+mov.wx1)
64204,64210,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
64216,64222,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
64230,64234,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
64240,64244,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
64488,64494,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
64500,64504,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
64800,64806,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
64842,64848,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
64850,64858,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
