address,proposed_name,confidence,source,notes
0xffffad7c,sys_status_bit5_latch,high,function_names+renames,"fns: sys_status_bit5_latch_ad7c (x1); uds_fault_status_mask_getter_bf58_ad7c_cca4 (x1); roles: cruise_control_state_timer_a; cruise_control_state_timer_b; sys_status_bit5_latch_ad7c; uds_fault_status_mask_getter_bf58_ad7c_cca4; cats: Faults & DTC(x1), OBD / UDS(x1)"
0xffffad7e,ram_ad7e,low,renames,roles: sys_status_bit5_latch_ad7c
0xffffad80,rear_o2_voltage_to_fp16,high,function_names+renames,fns: rear_o2_voltage_to_fp16_ad80 (x1); roles: rear_o2_fp16_to_float_ad84_ad8c; rear_o2_voltage_to_fp16_ad80; cats: Fuel & Lambda(x1)
0xffffad84,rear_o2_fp16_to_float,high,function_names+renames,"fns: rear_o2_fp16_to_float_ad84_ad8c (x1); float_copy_ad84_to_cc20 (x1); sensor_ad84_thresh_fall_clear_flag (x1); snapshot_ad84_to_d1a0 (x1); roles: sensor_ad84_thresh_fall_clear_flag; rear_o2_fp16_to_float_ad84_ad8c; float_copy_ad84_to_cc20; snapshot_ad84_to_d1a0; cats: Sensors(x2), Fuel & Lambda(x1), Boot & Init(x1)"
0xffffad8c,rear_o2_fp16_to_float,high,function_names+renames,fns: rear_o2_fp16_to_float_ad84_ad8c (x1); roles: sec_o2_sensor_voltage_calc; rear_o2_fp16_to_float_ad84_ad8c; cats: Fuel & Lambda(x1)
0xffffad94,ram_ad94,low,function_names+renames,fns: float_lookup_output_store_ad94 (x1); roles: float_lookup_output_store_ad94; cats: Math / FPU(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffad98,sensor_latch_copy,high,function_names+renames,fns: sensor_latch_copy_to_adc2_adea_ad98 (x1); roles: sensor_latch_copy_to_adc2_adea_ad98; cats: Sensors(x1)
0xffffada0,ram_ada0,low,renames,roles: sensor_slew_rate_filter
0xffffada8,uds_mode22,high,function_names+renames,fns: uds_mode22_get_ada8_16bit (x1); roles: throttle_timeout_counters_update; uds_mode22_get_ada8_16bit; cats: OBD / UDS(x1)
0xffffadb4,ram_adb4,low,renames,roles: cond_flag_b2e0_multi_eval
0xffffadbc,ram_adbc,low,renames,roles: aux_monitor_confirm_counter
0xffffadc0,uds_mode22_data,high,function_names+renames,fns: uds_mode22_data_getter_adc0 (x1); roles: uds_mode22_data_getter_adc0; cats: OBD / UDS(x1)
0xffffadc2,ram_adc2,low,renames,roles: sensor_latch_copy_to_adc2_adea_ad98
