addr,end,name,source,flag
0x005E22,0x005E32,FUN_00005e22,ghidra-auto,
0x005E32,0x005E42,FUN_00005e32,ghidra-auto,
0x005E42,0x005E48,FUN_00005e42,ghidra-auto,
0x005E48,0x005E58,FUN_00005e48,ghidra-auto,
0x005E58,0x005E68,FUN_00005e58,ghidra-auto,
0x005E68,0x005E78,FUN_00005e68,ghidra-auto,
0x005E78,0x005EBC,thunk_FUN_00009c86,ghidra-auto,
0x005EBC,0x005EC8,FUN_00005ebc,ghidra-auto,
0x005EC8,0x005ECE,FUN_00005ec8,ghidra-auto,
0x005ECE,0x005EDE,FUN_00005ece,ghidra-auto,
0x005EDE,0x005EEE,FUN_00005ede,ghidra-auto,
0x005EEE,0x005EF4,thunk_FUN_00009c86,ghidra-auto,
0x005EF4,0x005F18,FUN_00005ef4,ghidra-auto,
0x005F18,0x005F1C,noOp,ghidra-hand,
0x005F1C,0x006010,FUN_00005f1c,ghidra-auto,
0x006010,0x0060C8,task_handler_init_and_run,ida-ai-xmap,DUBIOUS
0x0060C8,0x0061A8,getSensorStuff??,ghidra-hand,
0x0061A8,0x0062A0,mainInit??,ghidra-hand,
0x0062A0,0x006360,FUN_000062a0,ghidra-auto,
0x006360,0x006366,thunk_FUN_000114fc,ghidra-auto,
0x006366,0x00636C,thunk_FUN_0001141c,ghidra-auto,
0x00636C,0x006372,thunk_FUN_0000abfa,ghidra-auto,
0x006372,0x0063F0,FUN_00006372,ghidra-auto,
0x0063F0,0x00648E,interruptSetup???,ghidra-hand,
0x00648E,0x0064BA,FUN_0000648e,ghidra-auto,
0x0064BA,0x0064E8,FUN_000064ba,ghidra-auto,
0x0064E8,0x0064F6,FUN_000064e8,ghidra-auto,
0x0064F6,0x006584,FUN_000064f6,ghidra-auto,
0x006584,0x006592,FUN_00006584,ghidra-auto,
0x006592,0x0065B2,FUN_00006592,ghidra-auto,
0x0065B2,0x0065CC,FUN_000065b2,ghidra-auto,
0x0065CC,0x0065DA,FUN_000065cc,ghidra-auto,
0x0065DA,0x0065E8,FUN_000065da,ghidra-auto,
0x0065E8,0x0065F6,FUN_000065e8,ghidra-auto,
0x0065F6,0x00661E,task1?,ghidra-hand,
0x00661E,0x006648,task2?,ghidra-hand,
0x006648,0x006652,FUN_00006648,ghidra-auto,
0x006652,0x00665C,FUN_00006652,ghidra-auto,
0x00665C,0x006666,FUN_0000665c,ghidra-auto,
0x006666,0x006670,FUN_00006666,ghidra-auto,
0x006670,0x006684,FUN_00006670,ghidra-auto,
0x006684,0x0066A6,FUN_00006684,ghidra-auto,
0x0066A6,0x0066AC,thunk_FUN_00011f3c,ghidra-auto,
0x0066AC,0x0066B2,thunk_FUN_00011c6a,ghidra-auto,
0x0066B2,0x006744,thunk_FUN_00011c6e,ghidra-auto,
0x006744,0x006796,getVehicleStatusInputs?,ghidra-hand,
0x006796,0x006842,atu2_capture_filter_update,ida-ai-xmap,DUBIOUS
0x006842,0x006846,FUN_00006842,ghidra-auto,
0x006846,0x006884,FUN_00006846,ghidra-auto,
0x006884,0x0069E2,sensorADCRead,ghidra-hand,
0x0069E2,0x006A28,fpu_context_clear_wrapper,ida-ai-xmap,DUBIOUS
0x006A28,0x006A4C,atu2_any_capture_pending,ida-ai-xmap,DUBIOUS
0x006A4C,0x006A90,FUN_00006a4c,ghidra-auto,
0x006A90,0x006B60,FUN_00006a90,ghidra-auto,
0x006B60,0x006B94,FUN_00006b60,ghidra-auto,
0x006B94,0x006C4C,atu2_read_captures_bank0,ida-ai-xmap,DUBIOUS
0x006C4C,0x006CC0,FUN_00006c4c,ghidra-auto,
0x006CC0,0x006CDC,FUN_00006cc0,ghidra-auto,
0x006CDC,0x006D7C,readADCs_coolantTempInHere??,ghidra-hand,
0x006D7C,0x006DE2,atu2_reconfig_mode_bank0,ida-ai-xmap,DUBIOUS
0x006DE2,0x006EC4,atu2_reconfig_mode_bank1,ida-ai-xmap,DUBIOUS
0x006EC4,0x006F16,FUN_00006ec4,ghidra-auto,
0x006F16,0x006FB0,atu2_edge_capture_config,ida-ai-xmap,DUBIOUS
0x006FB0,0x007070,readADCResult,ghidra-hand,
0x007070,0x007088,atu_control_bits_set,ida-ai-xmap,DUBIOUS
0x007088,0x0070AC,atu_fpu_control_wrapper,ida-ai-xmap,DUBIOUS
0x0070AC,0x007188,atu_fpu_control_wrapper,ghidra-hand,
0x007188,0x0071EA,adc_read_and_merge_flags,ida-ai-xmap,DUBIOUS
0x0071EA,0x007280,adc_single_convert,ida-ai-xmap,DUBIOUS
0x007280,0x007290,sensor_state_reset_ch0,ida-ai-xmap,DUBIOUS
0x007290,0x007298,getIATSensorValue,ghidra-hand,
0x007298,0x007330,readIATSensor,ghidra-hand,
0x007330,0x007338,getUNKNOWNSensorValue1,ghidra-hand,
0x007338,0x007398,readECMVoltage??,ghidra-hand,
0x007398,0x0073A0,getCoolantTempSensorValue,ghidra-hand,
0x0073A0,0x007438,readCoolantTempSensor,ghidra-hand,
0x007438,0x0074AC,getMAFSensorValue,ghidra-hand,
0x0074AC,0x0074B0,noOp,ghidra-hand,
0x0074B0,0x0074DA,fpu_context_clear_v2,ida-ai-xmap,DUBIOUS
0x0074DA,0x0074E0,FUN_000074da,ghidra-auto,
0x0074E0,0x007518,FUN_000074e0,ghidra-auto,
0x007518,0x007568,fuelingInit??,ghidra-hand,
0x007568,0x00759E,crank_periodic_handler,ida-ai-xmap,DUBIOUS
0x00759E,0x0075F4,crank_task_handler,ida-ai-xmap,DUBIOUS
0x0075F4,0x00765A,FUN_000075f4,ghidra-auto,
0x00765A,0x007668,FUN_0000765a,ghidra-auto,
0x007668,0x0076B8,FUN_00007668,ghidra-auto,
0x0076B8,0x007724,crank_timer_hw_reset,ida-ai-xmap,DUBIOUS
0x007724,0x007778,reInitCrankSensor??,ghidra-hand,
0x007778,0x0077F0,setInterruptTimer,ghidra-hand,
0x0077F0,0x00787A,crank_timing_update,ida-ai-xmap,DUBIOUS
0x00787A,0x007A86,crank_position_state_machine,ida-ai-xmap,DUBIOUS
0x007A86,0x007AB2,crank_sync_acquire,ida-ai-xmap,DUBIOUS
0x007AB2,0x007B58,FUN_00007ab2,ghidra-auto,
0x007B58,0x007B84,FUN_00007b58,ghidra-auto,
0x007B84,0x007B90,crank_state_bytes_clear,ida-ai-xmap,DUBIOUS
0x007B90,0x007BBE,crank_event_process,ida-ai-xmap,DUBIOUS
0x007BBE,0x007BDC,FUN_00007bbe,ghidra-auto,
0x007BDC,0x007BE4,FUN_00007bdc,ghidra-auto,
0x007BE4,0x007C0C,crank_event_timeout_check,ida-ai-xmap,DUBIOUS
0x007C0C,0x007C68,crankSensorInit?,ghidra-hand,
0x007C68,0x007D90,geteShaftAngle?,ghidra-hand,
0x007D90,0x007E3C,FUN_00007d90,ghidra-auto,
0x007E3C,0x007EB4,crank_gap_detect,ida-ai-xmap,DUBIOUS
0x007EB4,0x007ECA,crank_flags_enable,ida-ai-xmap,DUBIOUS
0x007ECA,0x007F22,crank_task_process,ida-ai-xmap,DUBIOUS
0x007F22,0x007F42,crank_event_update,ida-ai-xmap,DUBIOUS
0x007F42,0x007F90,crank_irq_callback,ida-ai-xmap,DUBIOUS
0x007F90,0x007FB0,engineSpeedInit,ghidra-hand,
0x007FB0,0x007FCC,FUN_00007fb0,ghidra-auto,
0x007FCC,0x00803E,getCrankAngle,ghidra-hand,
0x00803E,0x00806A,INT_ATU101_IMI10AG,ghidra-hand,
0x00806A,0x0080F0,FUN_0000806a,ghidra-auto,
0x0080F0,0x0081A8,crank_event_main_handler,ida-ai-xmap,DUBIOUS
0x0081A8,0x008268,ign_channel_task_handler,ida-ai-xmap,DUBIOUS
0x008268,0x0082B8,ign_output_port_config,ida-ai-xmap,DUBIOUS
0x0082B8,0x0082D8,FUN_000082b8,ghidra-auto,
