bank,addr,end,src_name,source,flag,lift_name,verified,also_sources,category
60E0E500,0x0055d6,0x0055E8,FUN_0055d6,derived,,,,,Faults & DTC
60E0E500,0x0055e8,0x0055FA,FUN_0055e8,derived,,,,,Faults & DTC
60E0E500,0x0055fa,0x00560C,FUN_0055fa,derived,,,,,Faults & DTC
60E0E500,0x00560c,0x00561E,FUN_00560c,derived,,,,,Faults & DTC
60E0E500,0x00561e,0x005630,FUN_00561e,derived,,,,,Faults & DTC
60E0E500,0x005630,0x00563C,FUN_005630,derived,,,,,Faults & DTC
60E0E500,0x00563c,0x005648,FUN_00563c,derived,,,,,Faults & DTC
60E0E500,0x005648,0x005654,FUN_005648,derived,,,,,Faults & DTC
60E0E500,0x005654,0x005660,FUN_005654,derived,,,,,Faults & DTC
60E0E500,0x005660,0x00566C,FUN_005660,derived,,,,,Faults & DTC
60E0E500,0x00566c,0x00567A,FUN_00566c,derived,,,,,Faults & DTC
60E0E500,0x00567a,0x00578E,FUN_00567a,derived,,,,,Faults & DTC
60E0E500,0x00578e,0x00579C,FUN_00578e,derived,,,,,Faults & DTC
60E0E500,0x00579c,0x0057AA,FUN_00579c,derived,,,,,Faults & DTC
60E0E500,0x0057aa,0x0057B8,FUN_0057aa,derived,,,,,Faults & DTC
60E0E500,0x0057b8,0x0057C6,FUN_0057b8,derived,,,,,Faults & DTC
60E0E500,0x0057c6,0x0058E0,FUN_0057c6,derived,,,,,Faults & DTC
60E0E500,0x0058e0,0x0058EE,FUN_0058e0,derived,,,,,Faults & DTC
60E0E500,0x0058ee,0x0058FC,FUN_0058ee,derived,,,,,Faults & DTC
60E0E500,0x0058fc,0x00590A,FUN_0058fc,derived,,,,,Faults & DTC
60E0E500,0x00590a,0x005918,FUN_00590a,derived,,,,,Faults & DTC
60E0E500,0x005918,0x005926,FUN_005918,derived,,,,,Faults & DTC
60E0E500,0x005926,0x005934,FUN_005926,derived,,,,,Faults & DTC
60E0E500,0x005934,0x00596C,FUN_005934,derived,,,,,Faults & DTC
60E0E500,0x00596c,0x00597A,FUN_00596c,derived,,,,,Faults & DTC
60E0E500,0x00597a,0x005988,FUN_00597a,derived,,,,,Faults & DTC
60E0E500,0x005988,0x005996,FUN_005988,derived,,,,,Faults & DTC
60E0E500,0x005996,0x0059A4,FUN_005996,derived,,,,,Faults & DTC
60E0E500,0x0059a4,0x0059B2,FUN_0059a4,derived,,,,,Faults & DTC
60E0E500,0x0059b2,0x0059C0,FUN_0059b2,derived,,,,,Faults & DTC
60E0E500,0x0059c0,0x0059CE,FUN_0059c0,derived,,,,,Faults & DTC
60E0E500,0x0059ce,0x0059DC,FUN_0059ce,derived,,,,,Faults & DTC
60E0E500,0x0059dc,0x0059EA,FUN_0059dc,derived,,,,,Faults & DTC
60E0E500,0x0059ea,0x0059F8,FUN_0059ea,derived,,,,,Faults & DTC
60E0E500,0x0059f8,0x005A06,FUN_0059f8,derived,,,,,Faults & DTC
60E0E500,0x005a06,0x005A14,FUN_005a06,derived,,,,,Faults & DTC
60E0E500,0x005a14,0x005A22,FUN_005a14,derived,,,,,Faults & DTC
60E0E500,0x005a22,0x005A30,FUN_005a22,derived,,,,,Faults & DTC
60E0E500,0x005a30,0x005A3E,FUN_005a30,derived,,,,,Faults & DTC
60E0E500,0x005a3e,0x005A4C,FUN_005a3e,derived,,,,,Faults & DTC
60E0E500,0x005a4c,0x005A58,FUN_005a4c,derived,,,,,Faults & DTC
60E0E500,0x005a58,0x005AC0,FUN_005a58,derived,,,,,Faults & DTC
60E0E500,0x005ac0,0x005ACE,FUN_005ac0,derived,,,,,Faults & DTC
60E0E500,0x005ace,0x005ADC,FUN_005ace,derived,,,,,Faults & DTC
60E0E500,0x005adc,0x005AEA,FUN_005adc,derived,,,,,Faults & DTC
60E0E500,0x005aea,0x005AF8,FUN_005aea,derived,,,,,Faults & DTC
60E0E500,0x005af8,0x005B06,FUN_005af8,derived,,,,,Faults & DTC
60E0E500,0x005b06,0x005B14,FUN_005b06,derived,,,,,Faults & DTC
60E0E500,0x005b14,0x005B20,FUN_005b14,derived,,,,,Faults & DTC
60E0E500,0x005b20,0x005B2E,FUN_005b20,derived,,,,,Faults & DTC
60E0E500,0x005b2e,0x005B3C,FUN_005b2e,derived,,,,,Faults & DTC
60E0E500,0x005b3c,0x005B56,FUN_005b3c,derived,,,,,Faults & DTC
60E0E500,0x005b56,0x005BD8,FUN_005b56,derived,,,,,Faults & DTC
60E0E500,0x005bd8,0x005CC4,FUN_005bd8,derived,,,,,Peripherals & ISR
60E0E500,0x005cc4,0x005CD2,FUN_005cc4,derived,,,,,Faults & DTC
60E0E500,0x005cd2,0x005CE2,FUN_005cd2,derived,,,,,Faults & DTC
60E0E500,0x005ce2,0x005CEE,FUN_005ce2,derived,,,,,Faults & DTC
60E0E500,0x005cee,0x005CFE,FUN_005cee,derived,,,,,Faults & DTC
60E0E500,0x005cfe,0x005D0A,FUN_005cfe,derived,,,,,Faults & DTC
60E0E500,0x005d0a,0x005D16,FUN_005d0a,derived,,,,,Faults & DTC
60E0E500,0x005d16,0x005D26,FUN_005d16,derived,,,,,Faults & DTC
60E0E500,0x005d26,0x005D36,FUN_005d26,derived,,,,,Faults & DTC
60E0E500,0x005d36,0x005D70,FUN_005d36,derived,,,,,Faults & DTC
60E0E500,0x005d70,0x005D80,FUN_005d70,derived,,,,,Faults & DTC
60E0E500,0x005d80,0x005D86,FUN_005d80,derived,,,,,Faults & DTC
